concept,condition,alpha,clap,muq,fad,lpaps
piano,steered,0.0,0.2916608938439446,-1.0,-1.0,-1.0
piano,steered,0.25,0.3007752186386942,-1.0,-1.0,-1.0
piano,steered,0.5,0.2998311038757506,-1.0,-1.0,-1.0
piano,steered,0.75,0.3020950750475573,-1.0,-1.0,-1.0
piano,steered,1.0,0.2977919818653519,-1.0,-1.0,-1.0
piano,steered,1.5,0.29265511859600196,-1.0,-1.0,-1.0
piano,steered,2.0,0.2914249157551374,-1.0,-1.0,-1.0
piano,steered,3.0,0.29822570512187774,-1.0,-1.0,-1.0
piano,text_baseline,0.0,0.29136291580106893,-1.0,-1.0,-1.0
piano,random_vector,1.0,0.2967616785191303,-1.0,-1.0,-1.0
tempo,steered,0.0,0.29375624077482804,-1.0,-1.0,-1.0
tempo,steered,0.25,0.29428510005665975,-1.0,-1.0,-1.0
tempo,steered,0.5,0.2953190831795819,-1.0,-1.0,-1.0
tempo,steered,0.75,0.29351856877025106,-1.0,-1.0,-1.0
tempo,steered,1.0,0.3008371496068389,-1.0,-1.0,-1.0
tempo,steered,1.5,0.3005078370267844,-1.0,-1.0,-1.0
tempo,steered,2.0,0.2984077001080628,-1.0,-1.0,-1.0
tempo,steered,3.0,0.30177777390278293,-1.0,-1.0,-1.0
tempo,text_baseline,0.0,0.30710575627326675,-1.0,-1.0,-1.0
tempo,random_vector,1.0,0.29357125081019664,-1.0,-1.0,-1.0
mood,steered,0.0,0.2941839810771213,-1.0,-1.0,-1.0
mood,steered,0.25,0.30569697563659953,-1.0,-1.0,-1.0
mood,steered,0.5,0.2999322079593978,-1.0,-1.0,-1.0
mood,steered,0.75,0.3065226723757412,-1.0,-1.0,-1.0
mood,steered,1.0,0.2950283463443677,-1.0,-1.0,-1.0
mood,steered,1.5,0.2976992077504161,-1.0,-1.0,-1.0
mood,steered,2.0,0.2976781649349657,-1.0,-1.0,-1.0
mood,steered,3.0,0.295183211338566,-1.0,-1.0,-1.0
mood,text_baseline,0.0,0.29990504908002186,-1.0,-1.0,-1.0
mood,random_vector,1.0,0.2919145582651104,-1.0,-1.0,-1.0
drums,steered,0.0,0.28926444314071664,-1.0,-1.0,-1.0
drums,steered,0.25,0.29953039057062375,-1.0,-1.0,-1.0
drums,steered,0.5,0.2987663801297096,-1.0,-1.0,-1.0
drums,steered,0.75,0.2985860144591241,-1.0,-1.0,-1.0
drums,steered,1.0,0.29746296989194604,-1.0,-1.0,-1.0
drums,steered,1.5,0.3046413610171222,-1.0,-1.0,-1.0
drums,steered,2.0,0.28798598956962984,-1.0,-1.0,-1.0
drums,steered,3.0,0.30054106627336796,-1.0,-1.0,-1.0
drums,text_baseline,0.0,0.29830252863900736,-1.0,-1.0,-1.0
drums,random_vector,1.0,0.29364776519367963,-1.0,-1.0,-1.0
jazz,steered,0.0,0.29471619885651124,-1.0,-1.0,-1.0
jazz,steered,0.25,0.300580017889633,-1.0,-1.0,-1.0
jazz,steered,0.5,0.28986569489116615,-1.0,-1.0,-1.0
jazz,steered,0.75,0.30547256096040903,-1.0,-1.0,-1.0
jazz,steered,1.0,0.3004653098189636,-1.0,-1.0,-1.0
jazz,steered,1.5,0.29938307220482663,-1.0,-1.0,-1.0
jazz,steered,2.0,0.30055345305010633,-1.0,-1.0,-1.0
jazz,steered,3.0,0.2932083618720521,-1.0,-1.0,-1.0
jazz,text_baseline,0.0,0.2788218645480037,-1.0,-1.0,-1.0
jazz,random_vector,1.0,0.28466567166424894,-1.0,-1.0,-1.0
