concept,window,window_start,window_end,clap_steered,clap_unsteered,clap_delta
piano,0.0-0.2,0.0,0.2,0.2921331214050888,0.3009546861092855,-0.008821564704196705
piano,0.2-0.4,0.2,0.4,0.2978127057527478,0.3009546861092855,-0.003141980356537677
piano,0.4-0.6,0.4,0.6,0.3003749485557949,0.3009546861092855,-0.0005797375534906113
piano,0.6-0.8,0.6,0.8,0.2991079915650235,0.3009546861092855,-0.0018466945442620064
piano,0.8-1.0,0.8,1.0,0.3037387073271782,0.3009546861092855,0.0027840212178927293
tempo,0.0-0.2,0.0,0.2,0.2939819360727003,0.30155419905769165,-0.0075722629849913625
tempo,0.2-0.4,0.2,0.4,0.29487452640019735,0.30155419905769165,-0.006679672657494307
tempo,0.4-0.6,0.4,0.6,0.2938784845059171,0.30155419905769165,-0.007675714551774571
tempo,0.6-0.8,0.6,0.8,0.2912644740158205,0.30155419905769165,-0.010289725041871145
tempo,0.8-1.0,0.8,1.0,0.3002196216216067,0.30155419905769165,-0.0013345774360849494
mood,0.0-0.2,0.0,0.2,0.29818243661403737,0.2910109299452639,0.007171506668773475
mood,0.2-0.4,0.2,0.4,0.29805974441369465,0.2910109299452639,0.007048814468430753
mood,0.4-0.6,0.4,0.6,0.29966780161937606,0.2910109299452639,0.008656871674112165
mood,0.6-0.8,0.6,0.8,0.2952973762556974,0.2910109299452639,0.0042864463104335115
mood,0.8-1.0,0.8,1.0,0.29006803594854597,0.2910109299452639,-0.0009428939967179306
drums,0.0-0.2,0.0,0.2,0.29387451493293404,0.2894728745368715,0.004401640396062556
drums,0.2-0.4,0.2,0.4,0.2984278445010852,0.2894728745368715,0.008954969964213744
drums,0.4-0.6,0.4,0.6,0.2966597309359504,0.2894728745368715,0.0071868563990789
drums,0.6-0.8,0.6,0.8,0.2975353247187762,0.2894728745368715,0.008062450181904712
drums,0.8-1.0,0.8,1.0,0.292596566265007,0.2894728745368715,0.003123691728135536
jazz,0.0-0.2,0.0,0.2,0.2958310112784197,0.290607864091582,0.0052231471868376955
jazz,0.2-0.4,0.2,0.4,0.3037923945400383,0.290607864091582,0.0131845304484563
jazz,0.4-0.6,0.4,0.6,0.2933754876828791,0.290607864091582,0.0027676235912970637
jazz,0.6-0.8,0.6,0.8,0.3037945525704243,0.290607864091582,0.013186688478842301
jazz,0.8-1.0,0.8,1.0,0.29973472005816554,0.290607864091582,0.009126855966583525
