label,concept_a,weight_a,concept_b,weight_b,method,clap_concept_a,clap_concept_b
piano+jazz,piano,1.0,jazz,1.0,naive,0.061242583969155,0.1752365876031302
piano+jazz,piano,1.0,jazz,1.0,gramschmidt,0.04761073913196863,0.18003771603385563
tempo+mood,tempo,1.0,mood,1.0,naive,0.21679811372706248,0.19638768401510462
tempo+mood,tempo,1.0,mood,1.0,gramschmidt,0.2059166072138383,0.19873242553522485
drums+jazz,drums,1.0,jazz,1.0,naive,0.17024682135168293,0.17813187254590193
drums+jazz,drums,1.0,jazz,1.0,gramschmidt,0.16465893879228977,0.17477890476115154
piano-drums,piano,1.0,drums,-1.0,naive,0.05366377572377008,0.15759686592472344
piano-drums,piano,1.0,drums,-1.0,gramschmidt,0.06765533344598344,0.16333232853209126
mood-fast_tempo,mood,1.0,tempo,-1.0,naive,0.20293063737099595,0.20580372930511193
mood-fast_tempo,mood,1.0,tempo,-1.0,gramschmidt,0.20021414643313287,0.2122022747360592
jazz-electric_guitar,jazz,1.0,electric_guitar,-1.0,naive,0.1757776680698623,0.04981237236520826
jazz-electric_guitar,jazz,1.0,electric_guitar,-1.0,gramschmidt,0.18362262407556934,0.05038197523922326
0.25piano+0.75jazz,piano,0.25,jazz,0.75,naive,0.057842902900934,0.1851626740776782
0.25piano+0.75jazz,piano,0.25,jazz,0.75,gramschmidt,0.048442217582697296,0.1772047474491782
0.50piano+0.50jazz,piano,0.5,jazz,0.5,naive,0.06317069023238421,0.1861858636698341
0.50piano+0.50jazz,piano,0.5,jazz,0.5,gramschmidt,0.055213436659943105,0.18418104294159077
0.75piano+0.25jazz,piano,0.75,jazz,0.25,naive,0.04304319067088329,0.18443070949709844
0.75piano+0.25jazz,piano,0.75,jazz,0.25,gramschmidt,0.06024728350543133,0.1742823700154554
