concept,schedule,alpha,clap,muq
piano,constant,1.0,0.29692752048641097,-1.0
piano,cosine,1.0,0.29969393559141344,-1.0
piano,early_only,1.0,0.29873708414811434,-1.0
piano,late_only,1.0,0.29798945190951975,-1.0
tempo,constant,1.0,0.29512847013720184,-1.0
tempo,cosine,1.0,0.29348036024421825,-1.0
tempo,early_only,1.0,0.29421878749189795,-1.0
tempo,late_only,1.0,0.2926183214002899,-1.0
mood,constant,1.0,0.30111896321557136,-1.0
mood,cosine,1.0,0.30909949932720854,-1.0
mood,early_only,1.0,0.2953818631098331,-1.0
mood,late_only,1.0,0.29799340323238505,-1.0
drums,constant,1.0,0.30290305069314377,-1.0
drums,cosine,1.0,0.29409101906513957,-1.0
drums,early_only,1.0,0.29414979972495564,-1.0
drums,late_only,1.0,0.2954091082514691,-1.0
jazz,constant,1.0,0.3048827583807385,-1.0
jazz,cosine,1.0,0.3013172623827771,-1.0
jazz,early_only,1.0,0.2973775306691471,-1.0
jazz,late_only,1.0,0.29899539897585553,-1.0
